product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,revenue_lost,is_marked_down,month,quarter,year_quarter,has_rating,rating_band,price_band,is_out_of_stock,is_dead_inventory
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0.0,196.01,2025-07-05,37,3.0,False,,0.0,False,2025-07,Q3,2025-Q3,True,Fair,Luxury,False,False
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0.0,119.64,2025-08-06,2,2.5,False,,0.0,False,2025-08,Q3,2025-Q3,True,Fair,Premium,False,False
FB000003,Accessories,Uniqlo,Winter,One Size,Black,33.8,0.0,33.8,2025-08-06,22,4.3,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Budget,False,False
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0.0,75.36,2025-07-07,48,2.6,False,,0.0,False,2025-07,Q3,2025-Q3,True,Fair,Mid-Range,False,False
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0.0,105.02,2025-08-06,10,,False,,0.0,False,2025-08,Q3,2025-Q3,False,,Premium,False,False
FB000006,Accessories,Zara,Fall,One Size,White,35.03,35.4,22.63,2025-08-06,38,2.9,True,Color Mismatch,12.4,True,2025-08,Q3,2025-Q3,True,Fair,Budget,False,False
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,54.5,24.49,2024-10-29,38,2.6,False,,29.34,True,2024-10,Q4,2024-Q4,True,Fair,Mid-Range,False,False
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,22.1,71.32,2025-08-06,47,1.6,False,,20.23,True,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,False
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,198.58,2025-03-24,14,,False,,29.15,True,2025-03,Q1,2025-Q1,False,,Luxury,False,False
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,221.33,2025-08-06,37,,False,,27.08,True,2025-08,Q3,2025-Q3,False,,Luxury,False,False
FB000011,Tops,Mango,Spring,L,Black,116.84,0.0,116.84,2025-04-25,3,4.4,False,,0.0,False,2025-04,Q2,2025-Q2,True,Excellent,Premium,False,False
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0.0,146.98,2025-08-06,2,3.4,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Premium,False,False
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0.0,37.51,2025-01-04,43,,False,,0.0,False,2025-01,Q1,2025-Q1,False,,Budget,False,False
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0.0,48.15,2025-08-06,39,1.6,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Budget,False,False
FB000015,Tops,Mango,Winter,M,Beige,79.66,0.0,79.66,2025-08-06,7,1.7,False,,0.0,False,2025-08,Q3,2025-Q3,True,Poor,Mid-Range,False,False
FB000016,Accessories,Mango,Winter,One Size,Green,67.57,0.0,67.57,2025-08-06,17,2.4,False,,0.0,False,2025-08,Q3,2025-Q3,True,Fair,Mid-Range,False,False
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0.0,123.53,2025-08-06,14,4.6,False,,0.0,False,2025-08,Q3,2025-Q3,True,Excellent,Premium,False,False
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0.0,102.35,2025-08-06,14,3.5,False,,0.0,False,2025-08,Q3,2025-Q3,True,Good,Premium,False,False
